Case_Number,Number_Nodes,H_Path?,Time
1,1,True,3.2901763916015625e-05
2,1,True,8.106231689453125e-06
3,1,True,5.7220458984375e-06
4,2,True,3.0994415283203125e-06
5,2,True,1.9073486328125e-06
6,2,True,1.1920928955078125e-06
7,3,False,5.4836273193359375e-06
8,3,True,1.9073486328125e-06
9,3,False,4.291534423828125e-06
10,4,False,2.288818359375e-05
11,4,False,1.71661376953125e-05
12,4,False,1.0251998901367188e-05
13,5,False,7.796287536621094e-05
14,5,False,7.62939453125e-05
15,5,True,8.58306884765625e-06
16,6,False,0.0002830028533935547
17,6,True,0.0003650188446044922
18,6,True,0.00010466575622558594
19,7,False,0.004222393035888672
20,7,False,0.003597736358642578
21,7,False,0.00813603401184082
22,8,True,1.2636184692382812e-05
23,8,True,0.005583286285400391
24,8,True,0.001329660415649414
25,9,False,0.4097025394439697
26,9,True,0.0028162002563476562
27,9,True,0.002401113510131836
28,10,True,0.14288115501403809
29,10,False,3.8612468242645264
30,10,True,0.10604023933410645
31,11,False,50.92972111701965
32,11,True,1.7321734428405762
33,11,True,0.9991014003753662
34,12,False,164.64807057380676
35,12,False,409.6160318851471
36,12,True,0.2446885108947754
37,13,True,144.42425918579102
38,13,True,190.4974081516266
39,13,True,9.012222290039062e-05
40,14,True,26.33056640625
